osm_id,osm_name,osm_type,hfr_id,hfr_name,hfr_type,hfr_lga,probability,decision,factor_name,factor_geo,distance_km,type_agree,explanation,human_label
way/291440097,Zango II Health Post,HEALTH_POST,0536a6b0-5b04-4d86-bfb2-9fa79ea4a461,Zango 2 Health Post,HEALTH_POST,Rimin Gado,0.9729,match,0.9214,0.9978,0.003,True,name 92%; 0.0 km apart; type match,
way/291444440,Butu Butu Health Post,HEALTH_POST,7b6cfa62-8575-496f-bff4-d2631dab438a,Butu Butu Model Primary Health Center,PHC,Rimin Gado,0.9727,match,0.92,0.9984,0.002,False,name 92%; 0.0 km apart; type differs,
way/292037292,Maitsidau Primary Health Centre,PHC,c48267e9-a643-4310-969f-487a4cdb6469,Maitsidau Basic Health Center,PHC,Makoda,0.9727,match,0.92,0.9998,0.0,True,name 92%; 0.0 km apart; type match,
node/2925849531,Kwanyawa Primary Health Centre,PHC,a45893ec-4ff0-4ab7-823b-5d490eacc630,Kwanyawa Model Primary Health Center,PHC,Karaye,0.9718,match,0.9143,0.9961,0.006,True,name 91%; 0.0 km apart; type match,
way/291932112,Ketawa H.P Health Post,HEALTH_POST,50a9fa1c-47e9-4de2-b7d6-22f2101e6391,Ketawa Health Post,HEALTH_POST,Gezawa,0.9715,match,0.92,0.9819,0.027,True,name 92%; 0.0 km apart; type match,
way/292047869,Dankunkuru Health Post,HEALTH_POST,e3903429-1128-4ad4-ad85-1797a2de9479,Dan Kurkuru Health Post,HEALTH_POST,Ungogo,0.9709,match,0.9083,0.9987,0.002,True,name 91%; 0.0 km apart; type match,
node/2925719600,Dangora Primary Health Centre,PHC,ff4d78fb-e1ee-4c54-bbe0-5193afb7e12a,Dangora Basic Health Center,PHC,Kiru,0.9708,match,0.9077,0.9988,0.002,True,name 91%; 0.0 km apart; type match,
way/291446639,Dangada Primary Health Centre,PHC,59f918dd-6826-46fc-9f23-dfd6200796db,Dangada Model Primary Health Center,PHC,Bagwai,0.9708,match,0.9077,0.9957,0.007,True,name 91%; 0.0 km apart; type match,
way/792470872,Lakwaya Primary Health Centre,PHC,4749992d-c424-4102-a004-d7f64f5a5017,Lakwaya Model Primary Health Center,PHC,Gwarzo,0.9708,match,0.9077,0.9966,0.005,True,name 91%; 0.0 km apart; type match,
way/291882073,Danmadaki Health Post,HEALTH_POST,0b0ed7ee-5e80-445b-8bcc-8f591fdb80a1,Dan Maidaki Health Post,HEALTH_POST,Makoda,0.9705,match,0.9057,0.9989,0.002,True,name 91%; 0.0 km apart; type match,
way/292065939,Dawanau Primary Health Centre,PHC,717870a2-fce7-4689-a5dc-95424a4d69ed,Dawanau Basic Health Center,PHC,Dawakin Tofa,0.9699,match,0.9077,0.9871,0.02,True,name 91%; 0.0 km apart; type match,
node/2929399571,Rimaye Health Post,HEALTH_POST,de975229-f584-49af-9135-4d37c390d503,Rimayen Rake Health Post,HEALTH_POST,Bichi,0.9696,match,0.9,0.9988,0.002,True,name 90%; 0.0 km apart; type match,
way/291761159,Tsaure Primary Health Centre,PHC,66bb1dea-1ca0-4bac-9ddf-9b4a19786715,Tsaure Basic Health Center,PHC,Shanono,0.9696,match,0.9,0.9992,0.001,True,name 90%; 0.0 km apart; type match,
way/292037282,Dawon Kaya Health Post,HEALTH_POST,6eca321d-bb16-43e7-9aa3-d875fd3affb9,Dawan Kaya Health Post,HEALTH_POST,Makoda,0.9696,match,0.9,0.9988,0.002,True,name 90%; 0.0 km apart; type match,
way/792111701,Tariwa Primary Health Centre,PHC,7d269d9c-5e83-42eb-b173-a44417ce87dc,Tariwa Basic Health Center,PHC,Bebeji,0.9696,match,0.9,0.9944,0.008,True,name 90%; 0.0 km apart; type match,
way/292050058,Fanisau Primary Health Centre,PHC,2a43eba7-9958-48fb-b4d3-2a617e537369,Panisau Health Clinic,CLINIC,Ungogo,0.9689,match,0.9048,0.98,0.03,False,name 90%; 0.0 km apart; type differs,
way/292037278,Fagwalo Health Post,HEALTH_POST,c919b715-c212-4255-bf34-bf9464639816,Fagolo Health Post,HEALTH_POST,Bichi,0.9686,match,0.8944,0.9993,0.001,True,name 89%; 0.0 km apart; type match,
way/291881003,Ridawa Health Post,HEALTH_POST,8aa7d1c6-8eb8-42eb-bdec-f5ca9d25c7e1,Ridawar Kwari Health Post,HEALTH_POST,Kunchi,0.9682,match,0.8923,0.9988,0.002,True,name 89%; 0.0 km apart; type match,
way/292065976,Bugai Primary Health Centre,PHC,9e02b04d-9932-4cc1-9932-cc75ff61bcc6,Bugai Model Primary Health Center,PHC,Tofa,0.968,match,0.8909,0.9922,0.012,True,name 89%; 0.0 km apart; type match,
way/792485991,Rahama Primary Health Centre,PHC,046403e3-56d3-4eee-a342-6779bb7dd582,Rahama Basic Health Center,PHC,Bebeji,0.9679,match,0.9,0.9773,0.034,True,name 90%; 0.0 km apart; type match,
way/792829698,Sare-Sare Primary Health Centre,PHC,e07b0267-d593-4764-bbd5-c5c20c886bc1,Sare Sare Model Primary Health Center,PHC,Bagwai,0.9669,match,0.8844,0.9939,0.009,True,name 88%; 0.0 km apart; type match,
way/292049015,Yakasai Health Post,HEALTH_POST,6abfe984-4804-4374-95af-71a25fa526d4,Yakasai Dandalama Health Post,HEALTH_POST,Dawakin Tofa,0.9665,match,0.8824,0.9992,0.001,True,name 88%; 0.0 km apart; type match,
node/2925757203,Kogo Primary Health Centre,PHC,6513af3a-e628-4ecc-8abd-f0244919378d,Kogo Model Primary Health Center,PHC,Kiru,0.9661,match,0.88,0.9988,0.002,True,name 88%; 0.0 km apart; type match,
way/291901211,Kore Primary Health Centre,PHC,0c75c87c-50ea-487c-840f-285a06a86397,Kore Model Primary Health Center,PHC,Dambatta,0.9661,match,0.88,0.9985,0.002,True,name 88%; 0.0 km apart; type match,
way/792544522,Durba Health Post,HEALTH_POST,437b4ca6-0464-4616-a4ca-794550666c82,Durba Basic Health Center,PHC,Kibiya,0.9658,match,0.8909,0.971,0.044,False,name 89%; 0.0 km apart; type differs,
way/792569803,Ahip Primary Health Centre,PHC,a1e02858-0b6b-4f6a-91a4-f5cd49f8f414,Ahip Family Health Center,PHC,Garko,0.9647,match,0.8727,0.9956,0.007,True,name 87%; 0.0 km apart; type match,
way/291879258,Yandadi Primary Health Centre,PHC,e16e4ac3-8eac-4a39-8972-8355e527fd77,Yandadi Model Primary Health Clinic,CLINIC,Kunchi,0.9635,match,0.8667,0.9947,0.008,False,name 87%; 0.0 km apart; type differs,
node/2925849530,Jama'A Primary Health Centre,PHC,5c3a7551-cf95-4645-9ae2-7345717bab2a,Jamaa Basic Health Center,PHC,Gwarzo,0.9617,match,0.8576,0.9975,0.004,True,name 86%; 0.0 km apart; type match,
way/292045549,Rijiyar Lemo Maternal and Child Health,HOSPITAL,e8e2203c-4e4f-41e8-bbe8-ae8a361aedfe,Rijiyar Lemo Maternity Clinic,MATERNITY,Fagge,0.9603,match,0.8567,0.9868,0.02,False,name 86%; 0.0 km apart; type differs,
way/791377515,Masu Primary Health Centre,PHC,08a54e6a-ce59-458c-9bfd-5c0d475c1b8c,Massu Basic Health Center,PHC,Sumaila,0.9592,match,0.8515,0.9867,0.02,True,name 85%; 0.0 km apart; type match,
